,train-time,predict-time,accuracy
1_NN,30.7,1233.25,0.828
3_NN,30.97,1232.23,0.8173
5_NN,30.77,1226.88,0.8117
7_NN,30.76,1250.6,0.8027
9_NN,31.41,1249.09,0.797
11_NN,30.8,1232.77,0.7934
13_NN,30.84,1223.97,0.7878
15_NN,30.76,1235.06,0.7841
17_NN,30.74,1238.97,0.7794
19_NN,30.72,1266.66,0.7756
21_NN,30.89,1231.14,0.7699
23_NN,30.69,1242.84,0.7671
25_NN,30.71,1238.29,0.7625
27_NN,30.96,1236.6,0.7593
29_NN,30.66,1243,0.755
