,train-time,predict-time,accuracy
1-NN,0.01,38.16,0.9723
3-NN,0.01,47.21,0.9733
5-NN,0.01,46.04,0.973
7-NN,0.01,42.13,0.9727
9-NN,0.01,44.56,0.9717
11-NN,0.01,39.52,0.9716
13-NN,0.01,39.8,0.97
15-NN,0.01,49.19,0.9699
17-NN,0.01,41.72,0.9687
19-NN,0.01,39.7,0.9682
21-NN,0.01,38.91,0.9682
23-NN,0.01,42.65,0.9674
25-NN,0.01,42.48,0.9675
27-NN,0.01,41.43,0.9671
29-NN,0.01,43.7,0.9665
